id,total_value,neighborhood,pclass,p13_date,sqft,bathrooms,bedrooms,allrooms,stories,units,zoning,construction,year_built,basement_sqft,lot_sqft,change_date,sales_date,recordation_date,zipcode
1449674,541429,Noe Valley,Dwelling,1995-03-01,1850,2.0,3,7,1,1,RH2,D,1900,0,2500,03/01/1995,12/30/1994,02/23/1931,94131
1155909,1184948,Pacific Heights,Dwelling,1999-08-01,4626,4.0,7,12,3,1,RH1,D,1906,0,4462.5,08/01/1999,,09/30/1983,94123
1851207,2500000,Noe Valley,Dwelling,1994-11-01,2479,4.0,2,10,2,1,RH2,D,1907,0,2850,11/01/1994,03/31/1960,03/31/1960,94114
625222,5000000,Pacific Heights,Condominium,2012-08-08,3200,2.0,2,6,1,1,RM1,C,1973,0,0,08/01/1999,07/02/1980,08/08/2012,94123
1620341,1505462,Noe Valley,Dwelling,1999-08-01,1720,2.0,2,6,2,1,RH2,D,1910,0,2226,08/01/1999,08/24/1970,08/24/1970,94131
1401343,946216,Noe Valley,Dwelling,1997-11-01,1720,2.0,2,5,2,1,RH2,D,1907,0,2750,11/01/1997,03/11/1997,03/11/1997,94131
1034091,1174978,Pacific Heights,Condominium,1999-08-01,2000,3.0,4,7,2,1,RH2,D,1923,0,0,08/01/1999,02/28/1920,02/28/1920,94109
1243252,1277409,Noe Valley,Dwelling,2014-03-06,1647,2.0,3,6,2,1,RH2,D,1907,448,2850,06/01/1999,03/06/2014,03/06/2014,94131
142434,3146235,Pacific Heights,Dwelling,2013-02-08,3118,2.0,2,11,1,1,RH2,D,1900,525,3049,08/01/1999,06/12/1990,02/08/2013,94115
1782058,622444,Pacific Heights,Condominium,2014-06-16,1907,2.0,2,5,0,1,RM2,D,1928,0,0,12/01/1997,06/16/2014,06/16/2014,94109
265138,416706,Noe Valley,Condominium,1996-12-01,930,2.0,2,4,1,1,RH2,D,1900,0,1070,12/01/1996,10/26/1995,10/26/1995,94114
21522,715099,Pacific Heights,Condominium,2013-01-16,1900,3.0,3,6,1,1,RM3,D,1931,0,0,11/01/1997,07/01/1997,01/16/2013,94109
196113,870936,Noe Valley,Condominium,2012-06-12,1047,1.0,3,6,0,0,,D,1900,0,0,,06/12/2012,06/12/2012,94114
1101569,1907466,Pacific Heights,Condominium,2013-03-15,2693,3.0,3,6,2,1,RH2,D,1900,0,3514,04/01/1998,03/15/2013,03/15/2013,94115
1771377,434196,Pacific Heights,Dwelling,2014-10-21,2200,2.0,4,7,2,1,RH3,D,1900,0,2500,08/01/1999,10/21/2014,10/21/2014,94115
1014656,3527523,Noe Valley,Dwelling,2010-05-19,4007,3.0,4,10,4,1,RH3,D,1900,0,2883,04/01/1999,05/19/2010,05/19/2010,94114
1335923,794590,Pacific Heights,Condominium,2012-11-19,940,1.0,2,4,0,1,RH2,D,1925,0,0,08/01/1999,11/19/2012,11/19/2012,94115
1640517,739911,Pacific Heights,Condominium,1999-06-01,1500,2.0,2,4,1,1,RM3,D,1965,0,0,06/01/1999,04/21/1940,11/04/1981,94109
1753354,242345,Pacific Heights,Condominium,1994-11-01,2100,3.0,2,6,1,1,RH2,D,1936,0,0,11/01/1994,09/29/1994,08/31/1950,94115
1165329,721603,Pacific Heights,Condominium,2011-12-15,2215,1.0,4,7,0,1,RH3,D,1900,0,0,08/01/1999,,12/15/2011,94115
379338,778612,Noe Valley,Dwelling,1999-06-01,2103,2.0,3,7,3,1,RH2,D,1906,252,2848,06/01/1999,04/30/1998,04/30/1998,94114
728866,8650000,Pacific Heights,Dwelling,2013-12-30,4862,4.0,4,10,4,1,RH1,D,1940,4568,2748,08/01/1999,12/30/2013,12/30/2013,94115
1162097,537116,Pacific Heights,Condominium,1999-08-01,1115,2.0,2,4,0,1,RM1,D,1962,0,0,08/01/1999,02/12/1999,02/12/1999,94115
1747892,2300396,Pacific Heights,Condominium,2014-12-30,2740,2.0,4,8,2,1,RH2,D,1902,0,0,12/01/1997,12/30/2014,12/30/2014,94115
79631,395973,Noe Valley,Condominium,1999-08-01,1500,1.0,2,5,1,1,RH2,D,1900,0,0,08/01/1999,10/09/1992,10/09/1992,94114
1502831,877303,Noe Valley,Dwelling,1997-05-01,1775,2.0,2,8,1,1,RH2,D,1900,0,2831,05/01/1997,08/17/1987,03/18/1920,94114
1995233,1074352,Pacific Heights,Condominium,1999-08-01,1125,2.0,2,5,3,1,RM2,D,1989,0,0,08/01/1999,07/31/1960,07/31/1960,94109
188723,635009,Noe Valley,Dwelling,2012-06-21,1643,3.0,3,6,3,0,,D,2003,0,0,,,06/21/2012,94110
1430733,815273,Noe Valley,Dwelling,2013-01-09,1700,2.0,4,8,2,1,RH2,D,1903,450,2850,09/01/1995,05/12/1995,01/09/2013,94114
1333508,2261218,Noe Valley,Dwelling,2013-04-19,1800,2.0,2,5,2,1,RH1,D,1996,0,2850,04/01/1996,04/19/2013,04/19/2013,94131
1998976,459103,Pacific Heights,Condominium,2010-01-14,1040,2.0,2,5,0,1,RM2,other,1964,0,0,03/01/1999,09/08/1998,01/14/2010,94123
1211696,937161,Noe Valley,Dwelling,2013-09-18,1000,1.0,2,4,1,1,RH1,D,1942,0,2247,08/01/1999,05/14/2010,09/18/2013,94131
1266388,706992,Pacific Heights,Condominium,2012-06-27,1306,1.0,2,3,3,1,RM3,D,1927,0,0,05/01/1996,06/27/2012,06/27/2012,94123
1740851,879800,Pacific Heights,Condominium,2011-07-14,1323,1.0,1,4,1,1,RM1,other,1962,0,0,03/01/1999,03/12/1970,07/14/2011,94115
1829962,1425098,Noe Valley,Condominium,2014-06-27,1876,2.0,3,8,2,0,,D,1981,0,0,,06/27/2014,06/27/2014,94114
598321,1050493,Noe Valley,Dwelling,2012-05-09,994,1.0,2,6,1,1,RH2,D,1900,0,1999,04/01/2011,10/05/1981,05/09/2012,94114
