"district_code","lea_district","name","caed_name","tiger_name","test_name","county_name","website","intptlat","intptlon","pct_in_county","lograde","higrade","county_code","school_code","test_year","subgroup_id","total_caaspp_enrollment","total_tested_at_entity_level","total_tested_at_subgroup_level","grade","test_id","caaspp_reported_enrollment","students_tested","students_with_scores","percent_tested","mean_scale_score","percentage_standard_exceeded","percentage_standard_met","percentage_standard_met_and_above","percentage_standard_nearly_met","percentage_standard_not_met","area_1_percentage_above_standard","area_1_percentage_at_or_near_standard","area_1_percentage_below_standard","area_2_percentage_above_standard","area_2_percentage_at_or_near_standard","area_2_percentage_below_standard","area_3_percentage_above_standard","area_3_percentage_at_or_near_standard","area_3_percentage_below_standard","area_4_percentage_above_standard","area_4_percentage_at_or_near_standard","area_4_percentage_below_standard","State","FIPS","TotPop","Pop_5_17","Pop_5_17_Poverty","Pop_5_17_Poverty_Percent","CO","DISTRICT","ExpendituresEDP365","CurrentExpenseADA","CurrentExpensePerADA","LEAType"
68965,24570,"Menlo Park City Elementary School District","Menlo Park City Elementary","Menlo Park City Elementary School District","Mathematics","San Mateo","www.mpcsd.org",37.455884,-122.183391,100,0,8,41,0,2015,1,2014,1885,1885,5,2,371,341,341,91.9,2587.8,59,21,80,13,6,65,25,11,60,33,8,54,38,8,0,0,0,"CA",6,27446,3334,88,2.639472,41,"Menlo Park City Elementary",40601204,2898.7,14007,"Elementary"
68973,24900,"Millbrae Elementary School District","Millbrae Elementary","Millbrae Elementary School District","Mathematics","San Mateo","www.millbraeschooldistrict.org",37.619297,-122.364569,100,0,8,41,0,2015,1,1686,1638,1638,5,2,256,250,249,97.7,2518.1,23,24,47,29,24,28,40,33,25,48,27,25,52,23,0,0,0,"CA",6,25787,2448,198,8.088235,41,"Millbrae Elementary",19526342,2390.4,8169,"Elementary"
68932,20460,"Pacifica School District","Pacifica","Pacifica School District","Mathematics","San Mateo","www.pacificasd.org/schools/lindamar/index.html",37.597825,-122.512862,100,0,8,41,0,2015,1,2106,2066,2066,5,2,350,341,341,97.4,2517.8,23,26,50,29,21,27,42,31,28,48,24,20,57,23,0,0,0,"CA",6,38774,3932,191,4.857579,41,"Pacifica",26748210,3001.6,8911,"Elementary"
68981,31470,"Portola Valley Elementary School District","Portola Valley Elementary","Portola Valley Elementary School District","Mathematics","San Mateo","www.pvsd.net",37.365046,-122.232679,100,0,8,41,0,2015,1,438,433,433,5,2,73,69,69,94.5,2581.2,62,13,75,17,7,65,22,13,57,35,9,45,45,10,0,0,0,"CA",6,6840,830,13,1.566265,41,"Portola Valley Elementary",11609012,608.3,19083,"Elementary"
68999,31860,"Ravenswood City Elementary School District","Ravenswood City Elementary","Ravenswood City Elementary School District","Mathematics","San Mateo","www.stanfordschools.org",37.489491,-122.13346,100,0,8,41,0,2015,1,2232,2187,2187,5,2,384,371,370,96.6,2434.7,3,7,10,29,61,4,25,71,4,26,70,4,35,61,0,0,0,"CA",6,36944,5363,1214,22.636584,41,"Ravenswood City Elementary",41765950,3241.4,12885,"Elementary"
69005,32130,"Redwood City Elementary School District","Redwood City Elementary","Redwood City Elementary School District","Mathematics","San Mateo","www.rsed.org",37.486773,-122.231568,100,0,8,41,0,2015,1,5868,5768,5768,5,2,1034,1002,998,96.9,2472.8,13,13,26,29,45,15,31,54,14,36,49,13,43,44,0,0,0,"CA",6,99527,11313,1728,15.274463,41,"Redwood City Elementary",85568443,8485.8,10084,"Elementary"
69013,34230,"San Bruno Park Elementary School District","San Bruno Park Elementary","San Bruno Park Elementary School District","Mathematics","San Mateo","www.spbsd.k12.ca.us/schools/crestmoor",37.626412,-122.385757,100,0,8,41,0,2015,1,1768,1735,1735,5,2,294,284,275,96.6,2497.7,18,19,37,29,31,25,36,35,19,41,37,12,53,29,0,0,0,"CA",6,38384,3821,360,9.421617,41,"San Bruno Park Elementary",22018845,2655.5,8292,"Elementary"
69021,34290,"San Carlos Elementary School District","San Carlos Elementary","San Carlos Elementary School District","Mathematics","San Mateo","www.whiteoaksschool.com/",37.501055,-122.266431,100,0,8,41,0,2015,1,2054,2028,2028,5,2,383,378,378,98.7,2540,34,30,64,21,15,38,38,24,38,46,17,36,47,16,0,0,0,"CA",6,27917,3380,143,4.230769,41,"San Carlos Elementary",30658541,3003.1,10209,"Elementary"
69039,34920,"San Mateo-Foster City Elementary School District","San Mateo-Foster City","San Mateo-Foster City Elementary School District","Mathematics","San Mateo","www.smfcsd.net",37.548172,-122.305604,100,0,8,41,0,2015,1,7542,7430,7430,5,2,1336,1306,1302,97.8,2532.5,36,19,55,23,22,42,28,30,34,40,26,34,42,24,0,0,0,"CA",6,136325,13705,1246,9.091572,41,"San Mateo-Foster City",99669091,11429.5,8720,"Elementary"
69070,37530,"South San Francisco Unified School District","South San Francisco Unified","South San Francisco Unified School District","Mathematics","San Mateo","www.ssfusd.org",37.655104,-122.376234,100,0,12,41,0,2015,1,5589,5424,5424,5,2,676,661,660,97.8,2488.7,16,19,35,31,34,24,31,45,16,42,42,14,50,36,0,0,0,"CA",6,82261,12000,1079,8.991667,41,"South San Francisco Unified",70770244,8749.9,8088,"Unified"
69088,43140,"Woodside Elementary School District","Woodside Elementary","Woodside Elementary School District","Mathematics","San Mateo","www.woodsideschool.us",37.423428,-122.279479,100,0,8,41,0,2015,1,273,267,267,5,2,49,46,46,93.9,2581.6,54,24,78,15,7,63,24,13,52,39,9,54,35,11,0,0,0,"CA",6,3322,472,13,2.754237,41,"Woodside Elementary",9271332,429,21613,"Elementary"
69369,2310,"Alum Rock Union Elementary School District","Alum Rock Union Elementary","Alum Rock Union Elementary School District","Mathematics","Santa Clara","www.kippbayarea.org/schools/heartwood",37.363936,-121.716741,100,0,8,43,0,2015,1,7531,7438,7438,5,2,1276,1252,1252,98.1,2462.5,10,12,21,29,50,13,28,59,11,35,54,10,40,50,0,0,0,"CA",6,117142,15703,2825,17.990193,43,"Alum Rock Union Elementary",116044649,10905,10641,"Elementary"
